system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching F:\Programmeren\C++\SlimeVolley\
font     D                ttf.c:217  alloc_glyph_region               [   0.14750] Glyph 43: 12x19 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.14759] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.14760] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.14792] Glyph 75: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14797] Glyph 86: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14802] Glyph 70: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14807] Glyph 82: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14817] Glyph 52: 13x19 (16x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.14853] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.14856] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.15099] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.15103] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.21408] Glyph 16: 11x4 (12x4)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.21415] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.21416] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.22035] Glyph 27: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   1.22042] Glyph 23: 12x19 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.22055] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.22058] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.22115] Glyph 21: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   1.22120] Glyph 20: 4x19 (4x20)
font     D                ttf.c:217  alloc_glyph_region               [   1.22126] Glyph 24: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   1.22132] Glyph 19: 12x19 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.22175] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.22177] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20422] removed dtor for object 00C7EC10
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20430] removed dtor for object 00C7E5C8
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20471] removed dtor for object 00C7E918
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20551] removed dtor for object 073932B0
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20591] removed dtor for object 07392B60
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20596] removed dtor for object 07392F80
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20637] removed dtor for object 07393080
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20648] removed dtor for object 0739B540
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20682] removed dtor for object 07393180
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20702] removed dtor for object 0739B640
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20712] removed dtor for object 07396AD0
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20741] removed dtor for object 07396BD0
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20752] removed dtor for object 07396CD0
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20774] removed dtor for object 073AAC68
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20784] removed dtor for object 073D4E88
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20797] removed dtor for object 073D4888
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20808] removed dtor for object 073D4D88
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20819] removed dtor for object 073D4988
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20829] removed dtor for object 00B8A9E8
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   7.20836] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.20855] removed dtor for object 07385200
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [   7.20863] destroying display 00BC5AE0 (current 00000000)
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [   7.20864] waiting for display 00BC5AE0's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [   7.21397] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [   7.21952] d3d display thread exits
dtor     D               dtor.c:114  _al_run_destructors              [   7.21967] calling dtor for object 00B92690, func 0F0A24CD
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.23969] removed dtor for object 00B92690
